"filename", "language", "JavaScript", "HTML", "CSS", "comment", "blank", "total"
"c:\Users\chuga\Documents\Italio\css\content.css", "CSS", 0, 0, 8, 0, 9, 17
"c:\Users\chuga\Documents\Italio\css\navbar.css", "CSS", 0, 0, 70, 0, 14, 84
"c:\Users\chuga\Documents\Italio\css\select.css", "CSS", 0, 0, 3, 0, 0, 3
"c:\Users\chuga\Documents\Italio\css\style.css", "CSS", 0, 0, 9, 0, 1, 10
"c:\Users\chuga\Documents\Italio\index.html", "HTML", 0, 15, 0, 0, 0, 15
"c:\Users\chuga\Documents\Italio\src\components\App.js", "JavaScript", 11, 0, 0, 0, 2, 13
"c:\Users\chuga\Documents\Italio\src\components\Content.js", "JavaScript", 39, 0, 0, 0, 5, 44
"c:\Users\chuga\Documents\Italio\src\components\Navbar\About.js", "JavaScript", 0, 0, 0, 0, 1, 1
"c:\Users\chuga\Documents\Italio\src\components\Navbar\Home.js", "JavaScript", 0, 0, 0, 0, 1, 1
"c:\Users\chuga\Documents\Italio\src\components\Navbar\Product.js", "JavaScript", 9, 0, 0, 0, 2, 11
"c:\Users\chuga\Documents\Italio\src\components\Navbar\index.js", "JavaScript", 36, 0, 0, 0, 2, 38
"c:\Users\chuga\Documents\Italio\src\components\base\Select.js", "JavaScript", 17, 0, 0, 0, 3, 20
"c:\Users\chuga\Documents\Italio\src\core.js", "JavaScript", 35, 0, 0, 0, 5, 40
"c:\Users\chuga\Documents\Italio\src\index.js", "JavaScript", 3, 0, 0, 0, 1, 4
"c:\Users\chuga\Documents\Italio\src\logger.js", "JavaScript", 11, 0, 0, 0, 0, 11
"c:\Users\chuga\Documents\Italio\src\reducer.js", "JavaScript", 147, 0, 0, 15, 6, 168
"c:\Users\chuga\Documents\Italio\src\store.js", "JavaScript", 6, 0, 0, 0, 4, 10
"c:\Users\chuga\Documents\Italio\util\storage.js", "JavaScript", 10, 0, 0, 0, 2, 12
"Total", "-", 324, 15, 90, 15, 58, 502
